fighter_name,fighter_url,height_raw,weight_raw,reach_raw,stance_raw,date_of_birth,height_in,weight_lbs,reach_in,stance
AJ Cunningham,http://ufcstats.com/fighter-details/d1053e55f00e53fe,"5' 10""",135 lbs.,"71""",Orthodox,1994-09-07,70.0,135.0,71.0,Orthodox
AJ Dobson,http://ufcstats.com/fighter-details/009c4420727149ea,"6' 1""",185 lbs.,"76""",Orthodox,1992-01-18,73.0,185.0,76.0,Orthodox
AJ Fletcher,http://ufcstats.com/fighter-details/725b1abc9a39d873,"5' 10""",170 lbs.,"67""",Switch,1997-02-18,70.0,170.0,67.0,Switch
Aalon Cruz,http://ufcstats.com/fighter-details/003d82fa384ca1d0,"6' 0""",145 lbs.,"78""",Switch,1989-09-20,72.0,145.0,78.0,Switch
Aaron Brink,http://ufcstats.com/fighter-details/cf1a88371c8cb690,"6' 3""",205 lbs.,--,Orthodox,1974-11-12,75.0,205.0,,Orthodox
Aaron Phillips,http://ufcstats.com/fighter-details/34c2b3656f88f7ef,"5' 9""",135 lbs.,"71""",Southpaw,1989-08-05,69.0,135.0,71.0,Southpaw
Aaron Pico,http://ufcstats.com/fighter-details/5537efc6e496dd84,"5' 8""",145 lbs.,"70""",Orthodox,1996-09-23,68.0,145.0,70.0,Orthodox
Aaron Riley,http://ufcstats.com/fighter-details/f2c8ebbeafd45f2b,"5' 8""",155 lbs.,"69""",Southpaw,1980-12-09,68.0,155.0,69.0,Southpaw
Aaron Rosa,http://ufcstats.com/fighter-details/11f8860028b68fcf,"6' 4""",205 lbs.,"77""",Orthodox,1983-05-28,76.0,205.0,77.0,Orthodox
Aaron Simpson,http://ufcstats.com/fighter-details/d5f820c11a121050,"6' 0""",170 lbs.,"73""",Orthodox,1974-07-20,72.0,170.0,73.0,Orthodox
Aaron Wilkinson,http://ufcstats.com/fighter-details/338a11d3674eb2d4,"5' 10""",155 lbs.,--,Orthodox,1987-01-31,70.0,155.0,,Orthodox
Abdul Rakhman Yakhyaev,http://ufcstats.com/fighter-details/95aff2fd8d09a5f0,"6' 2""",205 lbs.,"78""",Orthodox,2001-01-03,74.0,205.0,78.0,Orthodox
Abdul Razak Alhassan,http://ufcstats.com/fighter-details/eae431e70064e046,"5' 10""",185 lbs.,"73""",Orthodox,1985-08-11,70.0,185.0,73.0,Orthodox
Abdul-Kareem Al-Selwady,http://ufcstats.com/fighter-details/597499ac7a5aac62,"5' 8""",155 lbs.,"69""",Orthodox,1995-04-10,68.0,155.0,69.0,Orthodox
Abdul-Kerim Edilov,http://ufcstats.com/fighter-details/37e03538c960bac6,"6' 2""",205 lbs.,--,Orthodox,1991-11-25,74.0,205.0,,Orthodox
Abel Trujillo,http://ufcstats.com/fighter-details/e14b5aa06eea9653,"5' 8""",155 lbs.,"70""",Orthodox,1983-09-18,68.0,155.0,70.0,Orthodox
Abner Lloveras,http://ufcstats.com/fighter-details/6448e57a9533b7e4,"5' 11""",155 lbs.,--,,1982-09-04,71.0,155.0,,
Abu Azaitar,http://ufcstats.com/fighter-details/46d0a888d87d91ac,"5' 9""",185 lbs.,"76""",Orthodox,1986-03-10,69.0,185.0,76.0,Orthodox
Abubakar Nurmagomedov,http://ufcstats.com/fighter-details/029e1293e609fd74,"5' 11""",170 lbs.,"72""",Orthodox,1989-11-13,71.0,170.0,72.0,Orthodox
Abus Magomedov,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4,"6' 2""",185 lbs.,"78""",Orthodox,1990-09-02,74.0,185.0,78.0,Orthodox
Adam Cella,http://ufcstats.com/fighter-details/b27b8881d7444114,"6' 2""",170 lbs.,--,,1985-06-26,74.0,170.0,,
Adam Fugitt,http://ufcstats.com/fighter-details/a01a62132460a98d,"6' 1""",170 lbs.,"77""",Southpaw,1989-01-12,73.0,170.0,77.0,Southpaw
Adam Milstead,http://ufcstats.com/fighter-details/72ffecf712673af1,"6' 3""",205 lbs.,"76""",Orthodox,1987-07-03,75.0,205.0,76.0,Orthodox
Adam Wieczorek,http://ufcstats.com/fighter-details/efa1f6b42c86793c,"6' 5""",250 lbs.,"81""",Orthodox,1992-02-05,77.0,250.0,81.0,Orthodox
Adam Yandiev,http://ufcstats.com/fighter-details/0a95c474e61a6c44,"5' 9""",185 lbs.,"74""",Orthodox,1988-08-07,69.0,185.0,74.0,Orthodox
Adlan Amagov,http://ufcstats.com/fighter-details/1e327b281ef6a745,"6' 2""",170 lbs.,"76""",Orthodox,1986-10-30,74.0,170.0,76.0,Orthodox
Adrian Serrano,http://ufcstats.com/fighter-details/e7ec11096eac0282,"5' 8""",170 lbs.,--,,1963-12-23,68.0,170.0,,
Adrian Yanez,http://ufcstats.com/fighter-details/0232cabbc30a2372,"5' 7""",135 lbs.,"70""",Orthodox,1993-11-29,67.0,135.0,70.0,Orthodox
Adriano Martins,http://ufcstats.com/fighter-details/7dcf06c1967801c1,"5' 10""",155 lbs.,"72""",Southpaw,1982-12-16,70.0,155.0,72.0,Southpaw
Adriano Santos,http://ufcstats.com/fighter-details/c6e6926a81adcd00,--,--,--,,,,,,
Aiemann Zahabi,http://ufcstats.com/fighter-details/24656ef4d605c96f,"5' 8""",135 lbs.,"68""",Orthodox,1987-11-19,68.0,135.0,68.0,Orthodox
Ailin Perez,http://ufcstats.com/fighter-details/06e4245d16fc5315,"5' 5""",135 lbs.,"66""",Switch,1994-10-05,65.0,135.0,66.0,Switch
Aisling Daly,http://ufcstats.com/fighter-details/e50cd77732d39967,"5' 2""",115 lbs.,"64""",Orthodox,1987-12-24,62.0,115.0,64.0,Orthodox
Akbarh Arreola,http://ufcstats.com/fighter-details/c136b2a8852da5bd,"5' 10""",155 lbs.,"71""",Southpaw,1983-01-14,70.0,155.0,71.0,Southpaw
Akihiro Gono,http://ufcstats.com/fighter-details/b2acebbef8da14ea,"5' 7""",170 lbs.,"68""",Switch,1974-10-07,67.0,170.0,68.0,Switch
Akira Corassani,http://ufcstats.com/fighter-details/3f52ce18fb98008f,"5' 8""",145 lbs.,"68""",Orthodox,1982-08-27,68.0,145.0,68.0,Orthodox
Al Iaquinta,http://ufcstats.com/fighter-details/59279a7c978f7da0,"5' 10""",155 lbs.,"70""",Orthodox,1987-04-30,70.0,155.0,70.0,Orthodox
Alan Baudot,http://ufcstats.com/fighter-details/c9a94278df042f46,"6' 3""",243 lbs.,"79""",Orthodox,1988-02-01,75.0,243.0,79.0,Orthodox
