fighter_name,fighter_url,height,weight,reach,stance,date_of_birth
Ryan Gandra,http://ufcstats.com/fighter-details/e463ce0a2ca474f4,"6' 1""",185 lbs.,"74""",Orthodox,"May 08, 1995"
Erik Silva,http://ufcstats.com/fighter-details/21b813b919776d90,"5' 9""",145 lbs.,"71""",Orthodox,"Mar 16, 1987"
Jose Daniel Medina,http://ufcstats.com/fighter-details/baa9be02c3e3e038,"6' 0""",185 lbs.,"74""",Orthodox,"May 17, 1991"
David Martinez,http://ufcstats.com/fighter-details/9a97acbfd5a08bfa,"5' 5""",135 lbs.,"67""",Orthodox,"Aug 03, 1998"
Francis Marshall,http://ufcstats.com/fighter-details/5d495dec23d7c68e,"5' 9""",145 lbs.,"72""",Orthodox,"Mar 03, 1999"
Regina Tarin,http://ufcstats.com/fighter-details/9f5609dba6584ab2,"5' 7""",135 lbs.,"66""",Southpaw,"Oct 19, 2004"
Ernesta Kareckaite,http://ufcstats.com/fighter-details/e4faa79383c9f214,"5' 9""",125 lbs.,"71""",Orthodox,"Jul 05, 1998"
Marlon Vera,http://ufcstats.com/fighter-details/7c7332319c14094c,"5' 8""",135 lbs.,"70""",Switch,"Dec 02, 1992"
Angel Pacheco,http://ufcstats.com/fighter-details/07797f10b9569cfc,"5' 8""",135 lbs.,"70""",Orthodox,"Jan 13, 1992"
Santiago Luna,http://ufcstats.com/fighter-details/faf317c665546a36,"5' 9""",135 lbs.,"74""",Orthodox,"Aug 06, 2004"
Cristian Quinonez,http://ufcstats.com/fighter-details/7debc13b36343605,"5' 8""",135 lbs.,"70""",Orthodox,"Apr 26, 1996"
Kris Moutinho,http://ufcstats.com/fighter-details/9c27f3217891f3f0,"5' 7""",135 lbs.,"68""",Southpaw,"Aug 09, 1992"
Douglas Silva de Andrade,http://ufcstats.com/fighter-details/3a314d9fa7c6825d,"5' 7""",145 lbs.,"68""",Orthodox,"Jun 22, 1985"
Javier Reyes,http://ufcstats.com/fighter-details/4a574b8512fc1b30,"5' 7""",145 lbs.,"73""",,"Oct 10, 1993"
Lone'er Kavanagh,http://ufcstats.com/fighter-details/bb2c3c3a466224af,"5' 6""",125 lbs.,"67""",Orthodox,"Jun 09, 1999"
Daniel Zellhuber,http://ufcstats.com/fighter-details/4148802ae4a50768,"6' 1""",155 lbs.,"77""",Switch,"Jul 07, 1999"
Ailin Perez,http://ufcstats.com/fighter-details/06e4245d16fc5315,"5' 5""",135 lbs.,"66""",Switch,"Oct 05, 1994"
Macy Chiasson,http://ufcstats.com/fighter-details/9cdd2da1a9104a0b,"5' 11""",135 lbs.,"72""",Orthodox,"Jul 27, 1991"
Serghei Spivac,http://ufcstats.com/fighter-details/e2f6b2769aaedd6c,"6' 3""",260 lbs.,"78""",Orthodox,"Jan 24, 1995"
Michel Pereira,http://ufcstats.com/fighter-details/595db60957de51d3,"6' 1""",185 lbs.,"73""",Orthodox,"Oct 06, 1993"
Ante Delija,http://ufcstats.com/fighter-details/7d8435c56043b0ae,"6' 3""",239 lbs.,"78""",Orthodox,"Aug 07, 1990"
King Green,http://ufcstats.com/fighter-details/887961364be5ceb3,"5' 10""",155 lbs.,"71""",Orthodox,"Sep 09, 1986"
Carlos Leal,http://ufcstats.com/fighter-details/28d421729451c8ca,"5' 11""",170 lbs.,"74""",Orthodox,"May 04, 1994"
Chidi Njokuani,http://ufcstats.com/fighter-details/c68c68efaa5ca6ef,"6' 3""",170 lbs.,"80""",Orthodox,"Dec 31, 1988"
Jean-Paul Lebosnoyani,http://ufcstats.com/fighter-details/a3dda21be645be93,"5' 11""",170 lbs.,"72""",Switch,"Jan 27, 1999"
Phil Rowe,http://ufcstats.com/fighter-details/8e382b585a92affe,"6' 3""",170 lbs.,"80""",Orthodox,"Jul 18, 1990"
Jacobe Smith,http://ufcstats.com/fighter-details/85497ffd934ecf7e,"5' 10""",170 lbs.,"72""",Southpaw,"Jan 17, 1996"
Zach Reese,http://ufcstats.com/fighter-details/23dec7c47cb418f8,"6' 4""",185 lbs.,"77""",Switch,"Mar 24, 1994"
Josiah Harrell,http://ufcstats.com/fighter-details/e5864a42c80294f6,"5' 7""",170 lbs.,"68""",Southpaw,"Nov 13, 1998"
Ode Osbourne,http://ufcstats.com/fighter-details/6d68c1afe954f121,"5' 7""",125 lbs.,"73""",Southpaw,"Jan 09, 1992"
Brandon Moreno,http://ufcstats.com/fighter-details/792be9a24df82ed6,"5' 7""",125 lbs.,"70""",Orthodox,"Dec 07, 1993"
Imanol Rodriguez,http://ufcstats.com/fighter-details/6e8349a0a0476d60,"5' 4""",125 lbs.,"64""",Orthodox,"Nov 15, 1999"
Alibi Idiris,http://ufcstats.com/fighter-details/30cad5a751adcb48,"5' 6""",125 lbs.,"68""",Orthodox,"Oct 22, 1994"
Juliana Miller,http://ufcstats.com/fighter-details/aa0c573da7119292,"5' 7""",125 lbs.,"66""",Orthodox,"May 07, 1996"
Kevin Borjas,http://ufcstats.com/fighter-details/34b96d52db1d26e6,"5' 5""",125 lbs.,"68""",Orthodox,"Dec 06, 1997"
Carli Judice,http://ufcstats.com/fighter-details/f1ab6f37492c630a,"5' 7""",125 lbs.,"68""",Southpaw,"Mar 02, 1999"
Sean Strickland,http://ufcstats.com/fighter-details/0d8011111be000b2,"6' 1""",185 lbs.,"76""",Orthodox,"Feb 27, 1991"
Yadier del Valle,http://ufcstats.com/fighter-details/70380ccdc81915b8,"5' 9""",145 lbs.,"69""",Southpaw,"Jul 29, 1996"
Anthony Hernandez,http://ufcstats.com/fighter-details/093e1f5bb73850be,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 18, 1993"
Damian Pinas,http://ufcstats.com/fighter-details/fdd22e895a70e4a8,"6' 1""",185 lbs.,"79""",Orthodox,"Mar 12, 2002"
Felipe Bunes,http://ufcstats.com/fighter-details/53c10176e3bc7416,"5' 7""",125 lbs.,"69""",Orthodox,"Oct 29, 1989"
Nora Cornolle,http://ufcstats.com/fighter-details/f2b3f4ef3f780168,"5' 7""",135 lbs.,"67""",Orthodox,"Dec 06, 1989"
Uros Medic,http://ufcstats.com/fighter-details/681399317dbf4701,"6' 1""",170 lbs.,"71""",Southpaw,"Apr 25, 1993"
Jordan Leavitt,http://ufcstats.com/fighter-details/ac026518a9b4dc0f,"5' 9""",145 lbs.,"71""",Southpaw,"Jun 02, 1995"
Geoff Neal,http://ufcstats.com/fighter-details/b997be68943010fc,"5' 11""",170 lbs.,"75""",Southpaw,"Aug 28, 1990"
Joselyne Edwards,http://ufcstats.com/fighter-details/f9ab66e67240db7b,"5' 8""",135 lbs.,"70""",Orthodox,"Sep 29, 1995"
Dan Ige,http://ufcstats.com/fighter-details/82a5152216251682,"5' 7""",145 lbs.,"71""",Orthodox,"Aug 06, 1991"
Edgar Chairez,http://ufcstats.com/fighter-details/5ef94841c4bc3f86,"5' 7""",125 lbs.,"71""",Orthodox,"Jan 27, 1996"
Melquizael Costa,http://ufcstats.com/fighter-details/20bccc9bb4ceb23e,"5' 10""",145 lbs.,"71""",Southpaw,"Sep 14, 1996"
Alden Coria,http://ufcstats.com/fighter-details/5e9ca8dd7d783a75,"5' 8""",125 lbs.,"67""",Orthodox,"Apr 24, 1998"
Luis Gurule,http://ufcstats.com/fighter-details/29162be25ebef5f0,"5' 5""",125 lbs.,"64""",Orthodox,"Nov 16, 1993"
Jean Matsumoto,http://ufcstats.com/fighter-details/ffd3224638c01b57,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 09, 1999"
Ramiz Brahimaj,http://ufcstats.com/fighter-details/3d074044a33825e7,"5' 10""",170 lbs.,"72""",Orthodox,"Nov 17, 1992"
Farid Basharat,http://ufcstats.com/fighter-details/a09ed60aa67a3f67,"5' 8""",135 lbs.,"71""",Orthodox,"Aug 02, 1997"
Punahele Soriano,http://ufcstats.com/fighter-details/64facb6cc564262d,"5' 11""",170 lbs.,"72""",Southpaw,"Nov 22, 1992"
Wes Schultz,http://ufcstats.com/fighter-details/b4443fae47e7eb9d,"6' 1""",185 lbs.,"77""",Orthodox,"Aug 09, 1996"
Dustin Jacoby,http://ufcstats.com/fighter-details/e4277e87a789d687,"6' 3""",205 lbs.,"76""",Orthodox,"Apr 04, 1988"
Javid Basharat,http://ufcstats.com/fighter-details/bbab3baf66128ae2,"5' 9""",135 lbs.,"69""",Orthodox,"Sep 07, 1995"
Gianni Vazquez,http://ufcstats.com/fighter-details/51ec9dc3b4964f19,"5' 7""",135 lbs.,"71""",Orthodox,"Jul 17, 1994"
Julius Walker,http://ufcstats.com/fighter-details/6add18754930182b,"6' 4""",205 lbs.,"78""",Orthodox,"Jul 16, 1999"
Nikolay Veretennikov,http://ufcstats.com/fighter-details/0f1efce7d2571d10,"6' 1""",170 lbs.,"74""",Orthodox,"Dec 22, 1989"
Wang Cong,http://ufcstats.com/fighter-details/2997e7fe3c9d3d4a,"5' 6""",125 lbs.,"66""",Southpaw,"May 15, 1992"
Eduarda Moura,http://ufcstats.com/fighter-details/de594b35c45c2e9a,"5' 6""",125 lbs.,"67""",Orthodox,"Feb 28, 1994"
Jailton Almeida,http://ufcstats.com/fighter-details/41e83a89929d1327,"6' 3""",225 lbs.,"79""",Orthodox,"Jun 26, 1991"
Rizvan Kuniev,http://ufcstats.com/fighter-details/739fd4fbb5d862f4,"6' 4""",240 lbs.,"76""",Orthodox,"Mar 10, 1992"
Michal Oleksiejczuk,http://ufcstats.com/fighter-details/0d65c432720accb9,"6' 0""",185 lbs.,"74""",Southpaw,"Feb 22, 1995"
Marc-Andre Barriault,http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d,"6' 1""",185 lbs.,"74""",Orthodox,"Feb 18, 1990"
Vinicius Oliveira,http://ufcstats.com/fighter-details/18d01f7f8338ae72,"5' 9""",135 lbs.,"70""",Switch,"Nov 30, 1995"
Mario Bautista,http://ufcstats.com/fighter-details/bc711b6dd95c1af6,"5' 9""",135 lbs.,"69""",Switch,"Jul 01, 1993"
Niko Price,http://ufcstats.com/fighter-details/d8da10db80131bec,"6' 0""",170 lbs.,"76""",Orthodox,"Sep 29, 1989"
Klaudia Sygula,http://ufcstats.com/fighter-details/9f5e3c20ce40b344,"5' 8""",135 lbs.,"69""",Orthodox,"Dec 30, 1998"
Muin Gafurov,http://ufcstats.com/fighter-details/a54660deb6a8489c,"5' 7""",135 lbs.,"68""",Orthodox,"May 17, 1996"
Jakub Wiklacz,http://ufcstats.com/fighter-details/6902fcf0610dd303,"5' 10""",135 lbs.,"72""",Orthodox,"Sep 10, 1996"
