event_name,event_date,fight_url,fight_title,weight_class_raw,method,round,time,time_format,referee,details,fighter_1_name,fighter_1_url,fighter_1_status,fighter_2_name,fighter_2_url,fighter_2_status,winner_name,result_type
UFC 326: Holloway vs. Oliveira 2,2026-03-07,http://ufcstats.com/fight-details/a5abdc461cb1538e,Light Heavyweight Bout,Light Heavyweight,KO/TKO,1,2:42,3 Rnd (5-5-5),Kerry Hatley,Punches to Head From Half Guard,Luke Fernandez,http://ufcstats.com/fighter-details/d62e280d0f7b6d6f,L,Rodolfo Bellato,http://ufcstats.com/fighter-details/69898645d600abdb,W,Rodolfo Bellato,Win/Loss
UFC 326: Holloway vs. Oliveira 2,2026-03-07,http://ufcstats.com/fight-details/6a4738656c493ee9,Middleweight Bout,Middleweight,KO/TKO,1,1:47,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance,Gregory Rodrigues,http://ufcstats.com/fighter-details/d1c65d2cf2925ddd,W,Brunno Ferreira,http://ufcstats.com/fighter-details/1e719d4b676dc19a,L,Gregory Rodrigues,Win/Loss
UFC 326: Holloway vs. Oliveira 2,2026-03-07,http://ufcstats.com/fight-details/d564db29997e1371,Middleweight Bout,Middleweight,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Ben Cartlidge 27 - 30. Sal D'amato 27 - 30. Ron McCarthy 27 - 30.,Caio Borralho,http://ufcstats.com/fighter-details/4126a78111c0855a,W,Reinier de Ridder,http://ufcstats.com/fighter-details/d549cefc7c54ab78,L,Caio Borralho,Win/Loss
UFC 326: Holloway vs. Oliveira 2,2026-03-07,http://ufcstats.com/fight-details/9c8d5dbd8905a715,Middleweight Bout,Middleweight,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,Derek Cleary 28 - 29. Junichiro Kamijo 29 - 28. Tony Weeks 28 - 29.,Donte Johnson,http://ufcstats.com/fighter-details/ad5cb64af10fc946,W,Cody Brundage,http://ufcstats.com/fighter-details/f14f644d41ade29f,L,Donte Johnson,Win/Loss
UFC 326: Holloway vs. Oliveira 2,2026-03-07,http://ufcstats.com/fight-details/6feb49a6b7e8433c,Featherweight Bout,Featherweight,Submission,2,0:40,3 Rnd (5-5-5),Kerry Hatley,Anaconda Choke On Ground,Ricky Turcios,http://ufcstats.com/fighter-details/cd3d7e37ff2d679c,L,Alberto Montes,http://ufcstats.com/fighter-details/a112097ad877a48f,W,Alberto Montes,Win/Loss
UFC 326: Holloway vs. Oliveira 2,2026-03-07,http://ufcstats.com/fight-details/bed89a91da9d04c1,Bantamweight Bout,Bantamweight,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 27 - 30. Derek Cleary 27 - 30. Ron McCarthy 27 - 30.,Rob Font,http://ufcstats.com/fighter-details/05339613bf8e9808,L,Raul Rosas Jr.,http://ufcstats.com/fighter-details/fe2babf95de24fb1,W,Raul Rosas Jr.,Win/Loss
UFC 326: Holloway vs. Oliveira 2,2026-03-07,http://ufcstats.com/fight-details/cc03e698c4b7da52,Light Heavyweight Bout,Light Heavyweight,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Ben Cartlidge 27 - 30. David Lethaby 28 - 29. Tony Weeks 28 - 29.,Rafael Tobias,http://ufcstats.com/fighter-details/d6a8edb7410223a0,L,Diyar Nurgozhay,http://ufcstats.com/fighter-details/709fadb644ee3f51,W,Diyar Nurgozhay,Win/Loss
UFC 326: Holloway vs. Oliveira 2,2026-03-07,http://ufcstats.com/fight-details/a22fd3735819d858,Flyweight Bout,Flyweight,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 27 - 30. Derek Cleary 27 - 30. Sal D'amato 27 - 30.,Sumudaerji,http://ufcstats.com/fighter-details/3cf18e01cb6cbde3,W,Jesus Aguilar,http://ufcstats.com/fighter-details/c051c2e12d692b8a,L,Sumudaerji,Win/Loss
UFC 326: Holloway vs. Oliveira 2,2026-03-07,http://ufcstats.com/fight-details/f030febede41c661,Lightweight Bout,Lightweight,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Mike Bell 45 - 50. Derek Cleary 45 - 50. Sal D'amato 45 - 50.,Max Holloway,http://ufcstats.com/fighter-details/150ff4cc642270b9,L,Charles Oliveira,http://ufcstats.com/fighter-details/07225ba28ae309b6,W,Charles Oliveira,Win/Loss
UFC 326: Holloway vs. Oliveira 2,2026-03-07,http://ufcstats.com/fight-details/ecd16d14a138d7fb,Bantamweight Bout,Bantamweight,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Two Points Deducted: Repeated Low Blows by Xiao Mike Bell 27 - 28. Ben Cartlidge 27 - 28. Ron McCarthy 27 - 28.,Cody Garbrandt,http://ufcstats.com/fighter-details/d8c7c61b176e3994,W,Xiao Long,http://ufcstats.com/fighter-details/86bace9e4ad85542,L,Cody Garbrandt,Win/Loss
